SCORE_HCP4,SCORE_HEST,SCORE_HFI4,SCORE_HIPA,SCORE_HIPN,SCORE_HRM5,SCORE_HSV4,SCORE_HVA4,MENSAGEM_TIPO_REGISTRO,produtor,lancamento,segmento,score,categoria_risco_score,endereco_cep,endereco_estado,endereco_cidade,nascimento,idade,modalidade,total_financiado,quantidade_parcelas,dia_semana_compra,mes_compra,dia_mes_compra,compra_fim_semana,valor_parcela,tem_bureau,qtd_scores_bureau,media_scores_bureau,razao_hipa_hipn,risco_ord,FPD,pedido_id
363,6,521,99,99,2494.0,456,500,APTOS,Produtor_0350,Lancamento_2894,Mentoria,70.0,Alto,11087-500,SP,Cidade_3714,1992-07-01 00:00:00,33,CrA©dito AcessA­vel,1110.48,7.0,3.0,2.0,1.0,0,158.64,1,7,292.0,0.99,2,0,773013
109,1,176,99,81,2494.0,221,397,APTOS,Produtor_0350,Lancamento_2894,Mentoria,167.0,Alto,65110-000,MA,Cidade_3938,1993-11-03 00:00:00,32,CrA©dito AcessA­vel,1204.08,12.0,3.0,2.0,1.0,0,100.34,1,7,154.85714285714286,1.2073170731707317,2,0,756839
393,2,504,99,100,2494.0,442,488,APTOS,Produtor_1470,Lancamento_0544,Empreendedor,269.0,Alto,09715-022,SP,Cidade_3864,1986-07-10 00:00:00,39,CrA©dito AcessA­vel,1196.16,12.0,3.0,2.0,1.0,0,99.68,1,7,289.7142857142857,0.9801980198019802,2,0,770805
621,4,628,99,80,4443.0,682,818,APTOS,Produtor_1051,Lancamento_0380,Outros,544.0,Outros,81770-400,PR,Cidade_1182,1973-10-11 00:00:00,52,CrA©dito AcessA­vel,2875.92,12.0,3.0,2.0,1.0,0,239.66,1,8,921.875,1.2222222222222223,-1,0,781422
303,3,383,99,88,2494.0,227,280,APTOS,Produtor_1470,Lancamento_0544,Empreendedor,212.0,Alto,25040-130,RJ,Cidade_1291,1991-10-13 00:00:00,34,CrA©dito AcessA­vel,1196.16,12.0,3.0,2.0,1.0,0,99.68,1,7,197.57142857142856,1.1123595505617978,2,0,772962
366,1,424,99,998,2494.0,359,372,APTOS,Produtor_0350,Lancamento_2894,Mentoria,179.0,Alto,76825-234,RO,Cidade_3214,1984-02-02 00:00:00,41,CrA©dito AcessA­vel,1154.07,9.0,3.0,2.0,1.0,0,128.23,1,7,374.1428571428572,0.0990990990990991,2,0,771887
512,9,543,99,23,2494.0,473,600,APTOS,Produtor_0025,Lancamento_3487,Empreendedor,193.0,Alto,27910-210,RJ,Cidade_2309,1971-05-21 00:00:00,54,CrA©dito AcessA­vel,2071.8,12.0,3.0,2.0,1.0,0,172.65,1,7,322.7142857142857,4.125,2,0,769166
385,1,459,99,100,2494.0,396,417,APTOS,Produtor_0638,Lancamento_3085,Empreendedor,2.0,Alto,76824-222,RO,Cidade_3214,1999-11-05 00:00:00,26,CrA©dito AcessA­vel,2209.68,9.0,3.0,2.0,1.0,0,245.52,1,7,265.2857142857143,0.9801980198019802,2,1,774133
303,2,383,99,98,2494.0,312,352,APTOS,Produtor_0632,Lancamento_1081,Mentoria,106.0,Alto,37416-586,MG,Cidade_4243,1983-10-06 00:00:00,42,CrA©dito AcessA­vel,2276.04,12.0,3.0,2.0,1.0,0,189.67,1,7,221.28571428571428,1.0,2,1,772447
551,2,538,99,89,2494.0,479,460,APTOS,Produtor_0881,Lancamento_1287,Outros,2.0,Alto,84033-120,PR,Cidade_3164,1999-07-19 00:00:00,26,CrA©dito AcessA­vel,1569.96,12.0,3.0,2.0,1.0,0,130.83,1,7,316.85714285714283,1.1,2,0,777263
