SCORE_HCP4,SCORE_HEST,SCORE_HFI4,SCORE_HIPA,SCORE_HIPN,SCORE_HRM5,SCORE_HSV4,SCORE_HVA4,score,total_financiado,quantidade_parcelas,dia_semana_compra,mes_compra,dia_mes_compra,compra_fim_semana,valor_parcela,tem_bureau,qtd_scores_bureau,media_scores_bureau,razao_hipa_hipn,risco_ord,segmento_encoded,modalidade_encoded,endereco_estado_encoded,endereco_cidade_encoded,endereco_cep_encoded,lancamento_encoded,produtor_encoded,MENSAGEM_TIPO_REGISTRO_encoded,categoria_risco_score_encoded,idade_encoded,nascimento_encoded,FPD,pedido_id
363,6,521,99,99,2494.0,456,500,70.0,1110.48,7.0,3.0,2.0,1.0,0,158.64,1,7,292.0,0.99,2,7,4,174,3713,10682,2893,349,0,0,63,21752,0,773013
109,1,176,99,81,2494.0,221,397,167.0,1204.08,12.0,3.0,2.0,1.0,0,100.34,1,7,154.85714285714286,1.2073170731707317,2,7,4,102,3937,54205,2893,349,0,0,62,22625,0,756839
393,2,504,99,100,2494.0,442,488,269.0,1196.16,12.0,3.0,2.0,1.0,0,99.68,1,7,289.7142857142857,0.9801980198019802,2,4,4,174,3863,9896,543,1469,0,0,69,17759,0,770805
621,4,628,99,80,4443.0,682,818,544.0,2875.92,12.0,3.0,2.0,1.0,0,239.66,1,8,921.875,1.2222222222222223,-1,8,4,129,1181,70397,379,1050,0,3,82,9246,0,781422
303,3,383,99,88,2494.0,227,280,212.0,1196.16,12.0,3.0,2.0,1.0,0,99.68,1,7,197.57142857142856,1.1123595505617978,2,4,4,148,1290,27979,543,1469,0,0,64,21285,0,772962
366,1,424,99,998,2494.0,359,372,179.0,1154.07,9.0,3.0,2.0,1.0,0,128.23,1,7,374.1428571428572,0.0990990990990991,2,7,4,150,3213,65308,2893,349,0,0,71,16108,0,771887
512,9,543,99,23,2494.0,473,600,193.0,2071.8,12.0,3.0,2.0,1.0,0,172.65,1,7,322.7142857142857,4.125,2,4,4,148,2308,30270,3486,24,0,0,84,7752,0,769166
385,1,459,99,100,2494.0,396,417,2.0,2209.68,9.0,3.0,2.0,1.0,0,245.52,1,7,265.2857142857143,0.9801980198019802,2,4,4,150,3213,65284,3084,637,0,0,56,26469,1,774133
303,2,383,99,98,2494.0,312,352,106.0,2276.04,12.0,3.0,2.0,1.0,0,189.67,1,7,221.28571428571428,1.0,2,7,4,104,4242,39283,1080,631,0,0,72,15888,1,772447
551,2,538,99,89,2494.0,479,460,2.0,1569.96,12.0,3.0,2.0,1.0,0,130.83,1,7,316.85714285714283,1.1,2,8,4,129,3163,72104,1286,880,0,0,56,26288,0,777263
