SCORE_HCP4,SCORE_HEST,SCORE_HFI4,SCORE_HIPA,SCORE_HIPN,SCORE_HRM5,SCORE_HSV4,SCORE_HVA4,MENSAGEM_TIPO_REGISTRO,produtor,lancamento,segmento,score,categoria_risco_score,endereco_cep,endereco_estado,endereco_cidade,nascimento,idade,modalidade,total_financiado,quantidade_parcelas,dia_semana_compra,mes_compra,dia_mes_compra,compra_fim_semana,valor_parcela,tem_bureau,qtd_scores_bureau,media_scores_bureau,razao_hipa_hipn,risco_ord,pedido_id
538,3,595,99,93,3204.0,540,528,APTOS,Produtor_2068,Lancamento_4613,Autodesenvolvimento,246.0,Alto,65200-000,MA,Cidade_4014,1996-07-04,29,Credito Acessivel,989.16,12.0,3.0,1,1,0,82.42999999999999,1,8,700.0,1.053191489361702,2,1945890
519,1,525,99,91,10473.0,531,490,APTOS,Produtor_1874,Lancamento_1081,Outros,267.0,Alto,07865-530,SP,Cidade_1904,1978-09-02,47,Credito Acessivel,1158.52,11.0,3.0,1,1,0,105.32,1,8,1591.125,1.076086956521739,2,1945893
568,1,614,99,100,2411.0,589,535,APTOS,Produtor_2068,Lancamento_4613,Autodesenvolvimento,267.0,Alto,74435-310,GO,Cidade_2012,1988-03-22,37,Credito Acessivel,957.8,10.0,3.0,1,1,0,95.78,1,8,614.625,0.9801980198019802,2,1945895
635,6,715,99,998,20103.0,688,673,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,931.0,Baixo,95300-000,RS,Cidade_2830,1966-05-08,59,Antecipacao Produtor,1792.8,12.0,3.0,1,1,0,149.4,1,8,2989.625,0.0990990990990991,0,1945811
551,3,611,99,15,6488.0,593,625,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,267.0,Alto,06715-380,SP,Cidade_0884,1987-12-17,38,Antecipacao Produtor,1792.8,12.0,3.0,1,1,0,149.4,1,8,1123.125,6.1875,2,1945471
553,3,583,99,100,2936.0,538,517,APTOS,Produtor_1693,Lancamento_3057,Empreendedor,311.0,Medio,30666-230,MG,Cidade_0618,1990-04-18,35,Credito Acessivel,4964.28,12.0,3.0,1,1,0,413.69,1,8,666.125,0.9801980198019802,1,1945275
625,3,625,99,100,1460.0,625,625,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,767.0,Baixo,3188050,SP,Cidade_5362,1993-12-28,32,Credito Acessivel,1792.8,12.0,3.0,1,1,0,149.4,1,8,520.25,0.9801980198019802,0,1945902
571,2,532,99,61,6409.0,541,551,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,142.0,Alto,78550030,MT,Cidade_5930,1989-11-03,36,Credito Acessivel,1792.8,12.0,3.0,1,1,0,149.4,1,8,1095.75,1.596774193548387,2,1945908
703,1,690,99,100,8584.0,669,659,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,679.0,Baixo,13061-110,SP,Cidade_0844,1983-03-17,42,Credito Acessivel,1647.54,6.0,3.0,1,1,0,274.59,1,8,1438.125,0.9801980198019802,0,1930011
770,1,694,99,56,2543.0,651,651,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,338.0,Medio,04679-030,SP,Cidade_4998,1979-04-23,46,Credito Acessivel,1719.18,9.0,3.0,1,1,0,191.02,1,8,683.125,1.736842105263158,1,1914748
625,1,625,99,61,23609.0,625,625,APTOS,Produtor_0927,Lancamento_3998,Financeiro,574.0,Medio,60192-055,CE,Cidade_1883,1973-09-02,52,Credito Acessivel,2307.54,6.0,3.0,1,1,0,384.59,1,8,3283.75,1.596774193548387,1,1945914
566,2,708,99,86,500.0,667,659,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,806.0,Baixo,29147600,ES,Cidade_1168,1979-08-20,46,Antecipacao Produtor,2988.0,12.0,3.0,1,1,0,249.0,1,8,410.875,1.137931034482759,0,1945917
724,2,684,99,93,3788.0,660,644,APTOS,Produtor_0291,Lancamento_3378,Outros,536.0,Medio,48730-000,BA,Cidade_1394,1991-05-26,34,Credito Acessivel,2885.88,12.0,3.0,1,1,0,240.49,1,8,836.75,1.053191489361702,1,1945919
561,1,546,99,998,1888.0,538,516,APTOS,Produtor_0048,Lancamento_0185,Outros,260.0,Alto,28250-000,RJ,Cidade_2461,2000-12-14,25,Credito Acessivel,1736.14,12.0,3.0,1,1,0,144.67833333333334,1,8,643.375,0.0990990990990991,2,1939864
586,1,544,99,39,2094.0,559,539,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,315.0,Medio,32497-166,MG,Cidade_0475,1984-09-27,41,Antecipacao Produtor,1792.8,12.0,3.0,1,1,0,149.4,1,8,557.625,2.475,1,1945922
546,1,578,99,999,1521.0,543,547,APTOS,Produtor_2068,Lancamento_4613,Autodesenvolvimento,40.0,Alto,65054-760,MA,Cidade_5338,2006-09-16,19,Credito Acessivel,176.47,1.0,3.0,1,1,0,176.47,1,8,604.25,0.099,2,1945848
502,1,555,99,42,2360.0,529,527,APTOS,Produtor_0504,Lancamento_4419,Mentoria,547.0,Medio,14075-310,SP,Cidade_4393,1997-06-12,28,Credito Acessivel,1857.84,12.0,3.0,1,1,0,154.82,1,8,576.875,2.302325581395349,1,1845196
636,10,617,2,98,7418.0,642,705,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,352.0,Medio,57036450,AL,Cidade_3043,1967-12-20,58,Antecipacao Produtor,2988.0,12.0,3.0,1,1,0,249.0,1,8,1266.0,0.0202020202020202,1,1945925
625,6,623,99,86,4448.0,602,567,APTOS,Produtor_0504,Lancamento_4419,Mentoria,357.0,Medio,24436-540,RJ,Cidade_5283,1988-09-26,37,Credito Acessivel,1857.84,12.0,3.0,1,1,0,154.82,1,8,882.0,1.137931034482759,1,1865894
746,5,672,2,100,29254.0,647,669,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,327.0,Medio,24230-320,RJ,Cidade_3468,1974-08-03,51,Credito Acessivel,2988.0,12.0,3.0,1,1,0,249.0,1,8,4011.875,0.0198019801980198,1,1945932
579,7,550,99,9,2740.0,568,545,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,296.0,Alto,18190-000,SP,Cidade_0362,1970-01-06,56,Credito Acessivel,2988.0,12.0,3.0,1,1,0,249.0,1,8,637.125,9.9,2,1944333
619,2,611,99,94,4157.0,599,595,APTOS,Produtor_1961,Lancamento_4051,Autodesenvolvimento,254.0,Alto,41500450,BA,Cidade_4592,1990-03-07,35,Credito Acessivel,3723.24,12.0,3.0,1,1,0,310.27,1,8,847.0,1.0421052631578946,2,1936923
611,3,625,99,100,1765.0,600,562,APTOS,Produtor_2068,Lancamento_4613,Autodesenvolvimento,342.0,Medio,68903-209,AP,Cidade_3028,1998-02-01,28,Credito Acessivel,989.16,12.0,3.0,1,1,0,82.42999999999999,1,8,545.625,0.9801980198019802,1,1945945
625,2,577,99,100,7684.0,597,616,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,180.0,Alto,15804-020,SP,Cidade_1227,1977-04-08,48,Credito Acessivel,2988.0,12.0,3.0,1,1,0,249.0,1,8,1287.5,0.9801980198019802,2,749998
703,1,651,99,100,1890.0,646,624,APTOS,Produtor_1698,Lancamento_4958,Autoconhecimento,581.0,Medio,68725-000,PA,Cidade_2272,1992-03-17,33,Credito Acessivel,1175.88,12.0,3.0,1,1,0,97.99,1,8,589.25,0.9801980198019802,1,1944590
529,3,555,99,100,4632.0,528,473,APTOS,Produtor_0396,Lancamento_3943,Autodesenvolvimento,224.0,Alto,68440-000,PA,Cidade_0043,1981-11-19,44,Credito Acessivel,5721.94,7.0,3.0,1,1,0,817.42,1,8,864.875,0.9801980198019802,2,1945229
672,3,617,99,100,1950.0,627,571,APTOS,Produtor_2068,Lancamento_4613,Autodesenvolvimento,619.0,Medio,02673-000,SP,Cidade_5362,1987-11-14,38,Credito Acessivel,989.16,12.0,3.0,1,1,0,82.42999999999999,1,8,579.875,0.9801980198019802,1,1945955
543,2,584,99,9,15490.0,521,513,APTOS,Produtor_1042,Lancamento_0270,Outros,351.0,Medio,80410-200,PR,Cidade_1555,1972-09-01,53,Credito Acessivel,1189.92,12.0,3.0,1,1,0,99.16,1,8,2220.125,9.9,1,1945961
