SCORE_HCP4,SCORE_HEST,SCORE_HFI4,SCORE_HIPA,SCORE_HIPN,SCORE_HRM5,SCORE_HSV4,SCORE_HVA4,score,total_financiado,quantidade_parcelas,dia_semana_compra,mes_compra,dia_mes_compra,compra_fim_semana,valor_parcela,tem_bureau,qtd_scores_bureau,media_scores_bureau,razao_hipa_hipn,risco_ord,segmento_encoded,modalidade_encoded,endereco_estado_encoded,endereco_cidade_encoded,endereco_cep_encoded,lancamento_encoded,produtor_encoded,MENSAGEM_TIPO_REGISTRO_encoded,categoria_risco_score_encoded,idade_encoded,nascimento_encoded,pedido_id
538,3,595,99,93,3204.0,540,528,246.0,989.16,12.0,3.0,1,1,0,82.42999999999999,1,8,700.0,1.053191489361702,2,1,5,102,4013,54239,4009,1802,0,0,59,24371,1945890
519,1,525,99,91,10473.0,531,490,267.0,1158.52,11.0,3.0,1,1,0,105.32,1,8,1591.125,1.076086956521739,2,8,5,174,1903,7485,1080,1717,0,0,77,12426,1945893
568,1,614,99,100,2411.0,589,535,267.0,957.8,10.0,3.0,1,1,0,95.78,1,8,614.625,0.9801980198019802,2,1,5,90,2011,62569,4009,1802,0,0,67,18911,1945895
635,6,715,99,998,20103.0,688,673,931.0,1792.8,12.0,3.0,1,1,0,149.4,1,8,2989.625,0.0990990990990991,0,0,1,152,2829,81954,231,682,0,1,89,4927,1945811
551,3,611,99,15,6488.0,593,625,267.0,1792.8,12.0,3.0,1,1,0,149.4,1,8,1123.125,6.1875,2,0,1,174,883,6099,231,682,0,0,68,18728,1945471
553,3,583,99,100,2936.0,538,517,311.0,4964.28,12.0,3.0,1,1,0,413.69,1,8,666.125,0.9801980198019802,1,4,5,104,617,33740,3056,1641,0,2,65,20298,1945275
625,3,625,99,100,1460.0,625,625,767.0,1792.8,12.0,3.0,1,1,0,149.4,1,8,520.25,0.9801980198019802,0,0,5,174,4876,34746,231,682,0,1,62,22722,1945902
571,2,532,99,61,6409.0,541,551,142.0,1792.8,12.0,3.0,1,1,0,149.4,1,8,1095.75,1.596774193548387,2,0,5,108,5146,67527,231,682,0,0,66,20002,1945908
703,1,690,99,100,8584.0,669,659,679.0,1647.54,6.0,3.0,1,1,0,274.59,1,8,1438.125,0.9801980198019802,0,0,5,174,843,14056,231,682,0,1,72,15506,1930011
770,1,694,99,56,2543.0,651,651,338.0,1719.18,9.0,3.0,1,1,0,191.02,1,8,683.125,1.736842105263158,1,0,5,174,4756,3397,231,682,0,2,76,12849,1914748
625,1,625,99,61,23609.0,625,625,574.0,2307.54,6.0,3.0,1,1,0,384.59,1,8,3283.75,1.596774193548387,1,5,5,67,1882,51057,3749,926,0,2,82,9179,1945914
566,2,708,99,86,500.0,667,659,806.0,2988.0,12.0,3.0,1,1,0,249.0,1,8,410.875,1.137931034482759,0,0,1,81,1167,32054,231,682,0,1,76,13070,1945917
724,2,684,99,93,3788.0,660,644,536.0,2885.88,12.0,3.0,1,1,0,240.49,1,8,836.75,1.053191489361702,1,8,5,59,1393,45588,3377,290,0,2,64,21030,1945919
561,1,546,99,998,1888.0,538,516,260.0,1736.14,12.0,3.0,1,1,0,144.67833333333334,1,8,643.375,0.0990990990990991,2,8,5,148,2460,30578,184,47,0,0,55,27127,1939864
586,1,544,99,39,2094.0,559,539,315.0,1792.8,12.0,3.0,1,1,0,149.4,1,8,557.625,2.475,1,0,1,104,474,35395,231,682,0,2,71,16553,1945922
546,1,578,99,999,1521.0,543,547,40.0,176.47,1.0,3.0,1,1,0,176.47,1,8,604.25,0.099,2,1,5,102,4852,53848,4009,1802,0,0,4,29817,1945848
502,1,555,99,42,2360.0,529,527,547.0,1857.84,12.0,3.0,1,1,0,154.82,1,8,576.875,2.302325581395349,1,7,5,174,4392,18402,3931,503,0,2,58,24985,1845196
636,10,617,2,98,7418.0,642,705,352.0,2988.0,12.0,3.0,1,1,0,249.0,1,8,1266.0,0.0202020202020202,1,0,1,48,3042,48672,231,682,0,2,88,5765,1945925
625,6,623,99,86,4448.0,602,567,357.0,1857.84,12.0,3.0,1,1,0,154.82,1,8,882.0,1.137931034482759,1,7,5,148,4797,27409,3931,503,0,2,67,19260,1865894
746,5,672,2,100,29254.0,647,669,327.0,2988.0,12.0,3.0,1,1,0,249.0,1,8,4011.875,0.0198019801980198,1,0,5,148,3467,27164,231,682,0,2,81,9763,1945932
579,7,550,99,9,2740.0,568,545,296.0,2988.0,12.0,3.0,1,1,0,249.0,1,8,637.125,9.9,2,0,5,174,361,22338,231,682,0,0,86,6916,1944333
