SCORE_HCP4,SCORE_HEST,SCORE_HFI4,SCORE_HIPA,SCORE_HIPN,SCORE_HRM5,SCORE_HSV4,SCORE_HVA4,MENSAGEM_TIPO_REGISTRO,produtor,lancamento,segmento,score,categoria_risco_score,endereco_cep,endereco_estado,endereco_cidade,nascimento,idade,modalidade,total_financiado,quantidade_parcelas,dia_semana_compra,mes_compra,dia_mes_compra,compra_fim_semana,valor_parcela,tem_bureau,qtd_scores_bureau,media_scores_bureau,razao_hipa_hipn,risco_ord,FPD,pedido_id
644,3,584,99,91,2444.0,569,624,APTOS,Produtor_0169,Lancamento_3439,Empreendedor,604.0,Outros,09840-460,SP,Cidade_3864,1991-09-12 00:00:00,34,Compartilhado,1548.0,12.0,1.0,8.0,1.0,0,129.0,1,7,373.4285714285714,1.076086956521739,-1,0,518847
631,5,757,99,96,3238.0,658,775,APTOS,Produtor_1317,Lancamento_0901,Empreendedor,710.0,Baixo,31365-440,MG,Cidade_0464,1992-08-14 00:00:00,33,CrA©dito AcessA­vel,3235.8,12.0,1.0,8.0,1.0,0,269.65000000000003,1,7,431.57142857142856,1.0206185567010309,0,0,517081
430,1,382,99,999,2491.0,431,463,APTOS,Produtor_0735,Lancamento_1886,Empreendedor,238.0,Alto,72115-935,DF,Cidade_0581,1975-10-04 00:00:00,50,Compartilhado,549.0,6.0,1.0,8.0,1.0,0,91.5,1,8,662.0,0.099,2,0,516745
511,6,906,2,100,3238.0,504,509,APTOS,Produtor_1515,Lancamento_3359,Empreendedor,999.0,Baixo,22021-010,RJ,Cidade_3433,1949-03-08 00:00:00,76,Compartilhado,1447.8,12.0,1.0,8.0,1.0,0,120.65,1,7,362.57142857142856,0.0198019801980198,0,0,518441
567,3,623,99,66,3238.0,615,658,APTOS,Produtor_1123,Lancamento_1177,Empreendedor,783.0,Baixo,15804-050,SP,Cidade_0933,1979-02-22 00:00:00,46,CrA©dito AcessA­vel,3355.8,12.0,1.0,8.0,1.0,0,279.65000000000003,1,7,375.8571428571428,1.4776119402985075,0,0,518864
650,7,906,99,100,6823.0,899,908,APTOS,Produtor_1168,Lancamento_2133,Empreendedor,983.0,Baixo,13425-120,SP,Cidade_3100,1964-04-26 00:00:00,61,Compartilhado,1204.08,12.0,1.0,8.0,1.0,0,100.34,1,8,1299.0,0.9801980198019802,0,0,516513
949,2,906,2,100,2444.0,912,995,APTOS,Produtor_1129,Lancamento_2752,Empreendedor,475.0,Outros,92010-000,RS,Cidade_0826,1999-04-21 00:00:00,26,CrA©dito AcessA­vel,1501.29,9.0,1.0,8.0,1.0,0,166.81,1,7,552.2857142857143,0.0198019801980198,-1,0,518359
578,6,623,99,95,5418.0,598,455,APTOS,Produtor_1129,Lancamento_2752,Empreendedor,472.0,Outros,75110-753,GO,Cidade_0193,1995-02-18 00:00:00,30,CrA©dito AcessA­vel,1566.36,12.0,1.0,8.0,1.0,0,130.53,1,8,984.0,1.03125,-1,0,518342
424,1,504,99,49,3238.0,408,492,APTOS,Produtor_0238,Lancamento_2452,Empreendedor,895.0,Baixo,85950-000,PR,Cidade_2886,1968-03-24 00:00:00,57,Descomplicado,806.76,9.0,1.0,8.0,1.0,0,89.64,1,7,282.42857142857144,1.98,0,0,518702
600,1,600,2,89,2494.0,579,600,APTOS,Produtor_1123,Lancamento_1177,Empreendedor,194.0,Alto,89270-000,SC,Cidade_1590,1981-12-21 00:00:00,44,CrA©dito AcessA­vel,3355.8,12.0,1.0,8.0,1.0,0,279.65000000000003,1,7,353.0,0.0222222222222222,2,0,511618
353,1,459,99,54,1895.0,361,447,APTOS,Produtor_1201,Lancamento_2284,Empreendedor,549.0,Outros,77650-000,TO,Cidade_2499,1996-06-09 00:00:00,29,Compartilhado,1678.56,12.0,1.0,8.0,1.0,0,139.88,1,8,458.625,1.8,-1,0,518326
367,2,350,99,98,2494.0,404,527,APTOS,Produtor_0735,Lancamento_2396,Empreendedor,276.0,Alto,60543-325,CE,Cidade_1439,1958-02-14 00:00:00,67,Compartilhado,1196.15,12.0,1.0,8.0,1.0,0,99.67916666666667,1,7,263.85714285714283,1.0,2,0,517447
628,4,750,99,99,1929.0,750,750,APTOS,Produtor_1129,Lancamento_2752,Empreendedor,676.0,Baixo,45655-768,BA,Cidade_1742,1969-08-15 00:00:00,56,Descomplicado,1437.96,6.0,1.0,8.0,1.0,0,239.66,1,8,626.125,0.99,0,0,518575
376,2,600,99,15,2494.0,437,523,APTOS,Produtor_1583,Lancamento_1757,Autoconhecimento,134.0,Alto,76940-000,RO,Cidade_3452,1991-02-14 00:00:00,34,CrA©dito AcessA­vel,549.0,6.0,1.0,8.0,1.0,0,91.5,1,7,293.1428571428572,6.1875,2,0,518067
949,1,731,2,97,4187.0,784,685,APTOS,Produtor_1583,Lancamento_1757,Autoconhecimento,507.0,Outros,35530-000,MG,Cidade_1012,1987-05-01 00:00:00,38,CrA©dito AcessA­vel,549.0,6.0,1.0,8.0,1.0,0,91.5,1,8,929.5,0.0204081632653061,-1,0,516323
571,2,574,99,68,2494.0,539,648,APTOS,Produtor_1168,Lancamento_2133,Empreendedor,300.0,Alto,01543-010,SP,Cidade_4032,1967-12-19 00:00:00,58,Compartilhado,1204.08,12.0,1.0,8.0,1.0,0,100.34,1,7,357.2857142857143,1.434782608695652,2,0,517384
