SCORE_HCP4,SCORE_HEST,SCORE_HFI4,SCORE_HIPA,SCORE_HIPN,SCORE_HRM5,SCORE_HSV4,SCORE_HVA4,score,total_financiado,quantidade_parcelas,dia_semana_compra,mes_compra,dia_mes_compra,compra_fim_semana,valor_parcela,tem_bureau,qtd_scores_bureau,media_scores_bureau,razao_hipa_hipn,risco_ord,segmento_encoded,modalidade_encoded,endereco_estado_encoded,endereco_cidade_encoded,endereco_cep_encoded,lancamento_encoded,produtor_encoded,MENSAGEM_TIPO_REGISTRO_encoded,categoria_risco_score_encoded,idade_encoded,nascimento_encoded,FPD,pedido_id
644,3,584,99,91,2444.0,569,624,604.0,1548.0,12.0,1.0,8.0,1.0,0,129.0,1,7,373.4285714285714,1.076086956521739,-1,4,3,174,3863,10107,3438,168,0,3,64,21227,0,518847
631,5,757,99,96,3238.0,658,775,710.0,3235.8,12.0,1.0,8.0,1.0,0,269.65000000000003,1,7,431.57142857142856,1.0206185567010309,0,4,4,104,463,34334,900,1316,0,1,63,21831,0,517081
430,1,382,99,999,2491.0,431,463,238.0,549.0,6.0,1.0,8.0,1.0,0,91.5,1,8,662.0,0.099,2,4,3,75,580,60086,1885,734,0,0,80,10529,0,516745
511,6,906,2,100,3238.0,504,509,999.0,1447.8,12.0,1.0,8.0,1.0,0,120.65,1,7,362.57142857142856,0.0198019801980198,0,4,3,148,3432,25400,3358,1514,0,1,106,245,0,518441
567,3,623,99,66,3238.0,615,658,783.0,3355.8,12.0,1.0,8.0,1.0,0,279.65000000000003,1,7,375.8571428571428,1.4776119402985075,0,4,4,174,932,20301,1176,1122,0,1,76,12739,0,518864
650,7,906,99,100,6823.0,899,908,983.0,1204.08,12.0,1.0,8.0,1.0,0,100.34,1,8,1299.0,0.9801980198019802,0,4,3,174,3099,16456,2132,1167,0,1,91,3918,0,516513
949,2,906,2,100,2444.0,912,995,475.0,1501.29,9.0,1.0,8.0,1.0,0,166.81,1,7,552.2857142857143,0.0198019801980198,-1,4,4,152,825,80001,2751,1128,0,3,56,26137,0,518359
578,6,623,99,95,5418.0,598,455,472.0,1566.36,12.0,1.0,8.0,1.0,0,130.53,1,8,984.0,1.03125,-1,4,4,90,192,63859,2751,1128,0,3,60,23474,0,518342
424,1,504,99,49,3238.0,408,492,895.0,806.76,9.0,1.0,8.0,1.0,0,89.64,1,7,282.42857142857144,1.98,0,4,6,129,2885,73434,2451,237,0,1,87,5907,0,518702
600,1,600,2,89,2494.0,579,600,194.0,3355.8,12.0,1.0,8.0,1.0,0,279.65000000000003,1,7,353.0,0.0222222222222222,2,4,4,172,1589,78444,1176,1122,0,0,74,14648,0,511618
353,1,459,99,54,1895.0,361,447,549.0,1678.56,12.0,1.0,8.0,1.0,0,139.88,1,8,458.625,1.8,-1,4,3,184,2498,66166,2283,1200,0,3,59,24324,0,518326
367,2,350,99,98,2494.0,404,527,276.0,1196.15,12.0,1.0,8.0,1.0,0,99.67916666666667,1,7,263.85714285714283,1.0,2,4,3,67,1438,51462,2395,734,0,0,97,1609,0,517447
628,4,750,99,99,1929.0,750,750,676.0,1437.96,6.0,1.0,8.0,1.0,0,239.66,1,8,626.125,0.99,0,4,6,59,1741,44707,2751,1128,0,1,86,6690,0,518575
376,2,600,99,15,2494.0,437,523,134.0,549.0,6.0,1.0,8.0,1.0,0,91.5,1,7,293.1428571428572,6.1875,2,0,4,150,3451,65593,1756,1582,0,0,64,20845,0,518067
949,1,731,2,97,4187.0,784,685,507.0,549.0,6.0,1.0,8.0,1.0,0,91.5,1,8,929.5,0.0204081632653061,-1,0,4,104,1011,37294,1756,1582,0,3,68,18306,0,516323
571,2,574,99,68,2494.0,539,648,300.0,1204.08,12.0,1.0,8.0,1.0,0,100.34,1,7,357.2857142857143,1.434782608695652,2,4,3,174,4031,288,2132,1167,0,0,88,5764,0,517384
850,2,774,99,100,2494.0,828,742,251.0,661.68,6.0,1.0,8.0,1.0,0,110.28,1,7,485.0,0.9801980198019802,2,1,4,75,580,58737,122,1176,0,0,47,29435,0,517971
528,1,574,99,95,2444.0,554,597,311.0,2242.68,12.0,1.0,8.0,1.0,0,186.89,1,7,349.7142857142857,1.03125,-1,4,4,150,2080,65564,1701,469,0,3,69,17761,0,513789
371,6,469,99,24,2494.0,405,436,295.0,1395.6,13.0,1.0,8.0,1.0,0,107.35384615384616,1,7,258.57142857142856,3.96,2,4,3,148,1290,28145,2132,1167,0,0,93,3133,0,517139
291,1,256,99,999,3238.0,575,575,663.0,1204.08,12.0,1.0,8.0,1.0,0,100.34,1,7,399.4285714285714,0.099,0,4,3,59,1880,44869,2132,1167,0,1,98,1557,0,511353
373,5,300,99,100,2494.0,424,462,223.0,549.0,6.0,1.0,8.0,1.0,0,91.5,1,7,251.8571428571429,0.9801980198019802,2,4,3,123,919,56508,1885,734,0,0,81,9774,0,517423
521,1,576,99,99,2494.0,469,548,206.0,845.01,9.0,1.0,8.0,1.0,0,93.89,1,7,330.42857142857144,0.99,2,1,3,104,272,37353,1078,507,0,0,73,15198,0,517095
497,1,630,99,100,2494.0,462,617,282.0,964.92,12.0,1.0,8.0,1.0,0,80.41,1,7,343.7142857142857,0.9801980198019802,2,4,4,174,1758,15946,1768,975,0,0,73,15103,0,514731
751,3,626,99,100,2494.0,653,577,247.0,718.79,12.0,1.0,8.0,1.0,0,59.899166666666666,1,7,401.2857142857143,0.9801980198019802,2,1,4,107,984,69071,122,1176,0,0,67,19336,0,517695
716,1,678,99,65,2444.0,706,652,514.0,2496.36,12.0,1.0,8.0,1.0,0,208.03,1,7,416.7142857142857,1.5,-1,4,4,172,1892,76122,1701,469,0,3,78,11684,0,516664
421,1,623,99,91,2444.0,477,432,403.0,549.0,6.0,1.0,8.0,1.0,0,91.5,1,7,306.2857142857143,1.076086956521739,-1,4,3,75,580,60485,1885,734,0,3,54,27362,0,517714
260,1,416,99,998,2444.0,321,392,576.0,841.8,12.0,1.0,8.0,1.0,0,70.14999999999999,1,7,355.2857142857143,0.0990990990990991,-1,4,3,59,65,45381,2855,323,0,3,76,13345,0,516818
284,1,457,99,86,2494.0,402,551,252.0,2409.71,13.0,1.0,8.0,1.0,0,185.3623076923077,1,7,268.57142857142856,1.137931034482759,2,4,4,90,1533,62324,884,378,0,0,76,13119,0,516750
476,1,593,99,79,2494.0,536,600,129.0,704.86,2.0,1.0,8.0,1.0,0,352.43,1,7,340.57142857142856,1.2375,2,4,6,104,2562,41411,2504,1211,0,0,69,18093,0,513808
570,2,600,99,90,2494.0,561,600,212.0,1447.8,12.0,1.0,8.0,1.0,0,120.65,1,7,360.2857142857143,1.0879120879120878,2,4,3,81,882,32020,3358,1514,0,0,80,10315,0,518246
341,5,489,99,100,2444.0,417,492,479.0,910.44,9.0,1.0,8.0,1.0,0,101.16,1,7,277.57142857142856,0.9801980198019802,-1,1,3,174,2799,5366,2923,323,0,3,70,16851,0,515851
323,2,437,99,999,2444.0,380,380,592.0,1163.79,3.0,1.0,8.0,1.0,0,387.93,1,7,374.2857142857143,0.099,-1,4,4,81,4414,31712,3295,1571,0,3,56,26462,0,506987
363,1,457,99,998,2494.0,390,358,44.0,2396.04,12.0,1.0,8.0,1.0,0,199.67,1,7,380.8571428571428,0.0990990990990991,2,4,4,102,351,54465,3010,736,0,0,56,26310,0,518085
355,1,430,99,55,1371.0,421,480,158.0,549.0,6.0,1.0,8.0,1.0,0,91.5,1,8,401.5,1.7678571428571428,2,4,6,174,4031,3669,1885,734,0,0,71,16618,1,516913
543,1,433,99,63,2494.0,520,478,115.0,2999.1,6.0,1.0,8.0,1.0,0,499.85,1,7,305.2857142857143,1.546875,2,4,4,148,1290,27996,319,1494,0,0,80,10691,0,515837
644,1,836,99,100,3238.0,790,849,724.0,1611.09,9.0,1.0,8.0,1.0,0,179.01,1,7,474.1428571428572,0.9801980198019802,0,4,6,90,1934,64574,2283,1200,0,1,75,13830,0,518094
411,3,432,99,31,2444.0,471,463,466.0,1566.36,12.0,1.0,8.0,1.0,0,130.53,1,7,272.85714285714283,3.09375,-1,4,3,90,1533,62669,2504,1211,0,3,60,24026,0,515651
635,1,661,99,100,2444.0,692,758,482.0,1678.56,12.0,1.0,8.0,1.0,0,139.88,1,7,420.8571428571428,0.9801980198019802,-1,4,3,59,2204,43279,2283,1200,0,3,54,27420,0,515580
567,1,731,2,99,3238.0,658,633,872.0,549.0,6.0,1.0,8.0,1.0,0,91.5,1,7,384.4285714285714,0.02,0,0,4,129,3168,71282,1756,1582,0,1,78,11404,0,518245
763,2,595,99,88,4065.0,791,830,722.0,1989.12,12.0,1.0,8.0,1.0,0,165.76,1,8,904.125,1.1123595505617978,0,4,6,174,3075,20357,1025,1314,0,1,74,14640,0,516894
621,3,647,99,61,3238.0,590,563,654.0,2999.1,6.0,1.0,8.0,1.0,0,499.85,1,7,369.1428571428572,1.596774193548387,0,4,4,129,3392,72324,319,1494,0,1,74,14260,0,518168
534,6,587,99,85,2444.0,499,519,320.0,982.71,9.0,1.0,8.0,1.0,0,109.19,1,7,332.7142857142857,1.1511627906976745,-1,4,3,150,2317,65376,186,785,0,3,75,13875,0,516952
306,1,415,99,100,2494.0,351,457,225.0,806.76,9.0,1.0,8.0,1.0,0,89.64,1,7,247.0,0.9801980198019802,2,1,3,174,1609,11040,2923,323,0,0,81,10013,0,516991
621,1,906,99,62,3238.0,618,696,928.0,841.8,12.0,1.0,8.0,1.0,0,70.14999999999999,1,7,429.0,1.5714285714285714,0,1,3,174,4031,1903,2923,323,0,1,106,244,0,518390
148,1,390,99,100,2494.0,251,264,47.0,718.68,12.0,1.0,8.0,1.0,0,59.88999999999999,1,7,179.0,0.9801980198019802,2,1,4,67,822,52506,122,1176,0,0,55,26816,0,518648
201,2,391,99,100,2494.0,313,396,149.0,2644.92,12.0,1.0,8.0,1.0,0,220.41,1,7,214.57142857142856,0.9801980198019802,2,4,4,172,1860,76188,1598,301,0,0,66,19684,0,515686
