pedido_id,produtor,lancamento,segmento,score,categoria_risco_score,endereco_cep,endereco_estado,endereco_cidade,nascimento,idade,modalidade,total_financiado,quantidade_parcelas,data_efetivacao,order_bump,pedido_pai_ob,SCORE_HCP4,SCORE_HEST,SCORE_HFI4,SCORE_HIPA,SCORE_HIPN,SCORE_HRM5,SCORE_HSV4,SCORE_HVA4,MENSAGEM_TIPO_REGISTRO,dia_semana_compra,mes_compra,compra_fim_semana,valor_parcela,tem_order_bump,tem_bureau,qtd_scores_bureau,media_scores_bureau,razao_hipa_hipn,produtor_encoded,lancamento_encoded,segmento_encoded,categoria_risco_score_encoded,endereco_cep_encoded,endereco_estado_encoded,endereco_cidade_encoded,nascimento_encoded,modalidade_encoded,MENSAGEM_TIPO_REGISTRO_encoded
1945890,Produtor_2068,Lancamento_4613,Autodesenvolvimento,246.0,Alto,65200-000,MA,Cidade_4014,1996-07-04,29,Crédito Acessível,989.16,12,2026-01-01 01:21:00,Desconhecido,0.0,538,3,595,99,93,3204,540,528,APTOS,3,1,0,82.42999999999999,0,1,8,700.0,1.053191489361702,875,1451,1,0,13464,10,1945,10065,1,0
1945893,Produtor_1874,Lancamento_1081,Outros,267.0,Alto,07865-530,SP,Cidade_1904,1978-09-02,47,Crédito Acessível,1158.52,11,2026-01-01 02:19:00,Desconhecido,0.0,519,1,525,99,91,10473,531,490,APTOS,3,1,0,105.32,0,1,8,1591.125,1.076086956521739,790,364,7,0,1891,27,934,4627,1,0
1945895,Produtor_2068,Lancamento_4613,Autodesenvolvimento,267.0,Alto,74435-310,GO,Cidade_2012,1988-03-22,37,Crédito Acessível,957.8,10,2026-01-01 04:19:00,Desconhecido,0.0,568,1,614,99,100,2411,589,535,APTOS,3,1,0,95.78,0,1,8,614.625,0.9801980198019802,875,1451,1,0,15532,9,982,7628,1,0
1945811,Produtor_0683,Lancamento_0232,Autoconhecimento,931.0,Baixo,95300-000,RS,Cidade_2830,1966-05-08,59,Antecipação Produtor,1792.8,12,2026-01-01 07:59:00,Desconhecido,0.0,635,6,715,99,998,20103,688,673,APTOS,3,1,0,149.4,0,1,8,2989.625,0.0990990990990991,278,67,0,1,20158,24,1377,1498,0,0
1945471,Produtor_0683,Lancamento_0232,Autoconhecimento,267.0,Alto,06715-380,SP,Cidade_0884,1987-12-17,38,Antecipação Produtor,1792.8,12,2026-01-01 09:00:00,Desconhecido,0.0,551,3,611,99,15,6488,593,625,APTOS,3,1,0,149.4,0,1,8,1123.125,6.1875,278,67,0,0,1563,27,446,7541,0,0
1945275,Produtor_1693,Lancamento_3057,Empreendedor,311.0,Médio,30666-230,MG,Cidade_0618,1990-04-18,35,Crédito Acessível,4964.28,12,2026-01-01 09:15:00,Desconhecido,0.0,553,3,583,99,100,2936,538,517,APTOS,3,1,0,413.69,0,1,8,666.125,0.9801980198019802,714,931,3,3,8183,11,309,8260,1,0
1945902,Produtor_0683,Lancamento_0232,Autoconhecimento,767.0,Baixo,3188050,SP,Cidade_5362,1993-12-28,32,Crédito Acessível,1792.8,12,2026-01-01 09:36:00,Desconhecido,0.0,625,3,625,99,100,1460,625,625,APTOS,3,1,0,149.4,0,1,8,520.25,0.9801980198019802,278,67,0,1,8423,27,2554,9335,1,0
1945908,Produtor_0683,Lancamento_0232,Autoconhecimento,142.0,Alto,78550030,MT,Cidade_5930,1989-11-03,36,Crédito Acessível,1792.8,12,2026-01-01 10:39:00,Desconhecido,0.0,571,2,532,99,61,6409,541,551,APTOS,3,1,0,149.4,0,1,8,1095.75,1.596774193548387,278,67,0,0,16690,13,2824,8128,1,0
1930011,Produtor_0683,Lancamento_0232,Autoconhecimento,679.0,Baixo,13061-110,SP,Cidade_0844,1983-03-17,42,Crédito Acessível,1647.54,6,2026-01-01 11:09:00,Desconhecido,0.0,703,1,690,99,100,8584,669,659,APTOS,3,1,0,274.59,0,1,8,1438.125,0.9801980198019802,278,67,0,1,3431,27,417,6053,1,0
1914748,Produtor_0683,Lancamento_0232,Autoconhecimento,338.0,Médio,04679-030,SP,Cidade_4998,1979-04-23,46,Crédito Acessível,1719.18,9,2026-01-01 11:27:00,Desconhecido,0.0,770,1,694,99,56,2543,651,651,APTOS,3,1,0,191.02,0,1,8,683.125,1.736842105263158,278,67,0,3,923,27,2434,4818,1,0
1945914,Produtor_0927,Lancamento_3998,Financeiro,574.0,Médio,60192-055,CE,Cidade_1883,1973-09-02,52,Crédito Acessível,2307.54,6,2026-01-01 11:41:00,Desconhecido,0.0,625,1,625,99,61,23609,625,625,APTOS,3,1,0,384.59,0,1,8,3283.75,1.596774193548387,376,1191,4,3,12633,6,926,3195,1,0
1945917,Produtor_0683,Lancamento_0232,Autoconhecimento,806.0,Baixo,29147600,ES,Cidade_1168,1979-08-20,46,Antecipação Produtor,2988.0,12,2026-01-01 11:54:00,Desconhecido,0.0,566,2,708,99,86,500,667,659,APTOS,3,1,0,249.0,0,1,8,410.875,1.137931034482759,278,67,0,1,7769,8,593,4920,0,0
1945919,Produtor_0291,Lancamento_3378,Outros,536.0,Médio,48730-000,BA,Cidade_1394,1991-05-26,34,Crédito Acessível,2885.88,12,2026-01-01 12:16:00,Desconhecido,0.0,724,2,684,99,93,3788,660,644,APTOS,3,1,0,240.49,0,1,8,836.75,1.053191489361702,124,1021,7,3,11185,4,697,8589,1,0
1939864,Produtor_0048,Lancamento_0185,Outros,260.0,Alto,28250-000,RJ,Cidade_2461,2000-12-14,25,Crédito Acessível,1736.14,12,2026-01-01 12:30:00,Desconhecido,0.0,561,1,546,99,998,1888,538,516,APTOS,3,1,0,144.67833333333334,0,1,8,643.375,0.0990990990990991,24,46,7,0,7443,20,1194,11229,1,0
1945922,Produtor_0683,Lancamento_0232,Autoconhecimento,315.0,Médio,32497-166,MG,Cidade_0475,1984-09-27,41,Antecipação Produtor,1792.8,12,2026-01-01 13:03:00,Desconhecido,0.0,586,1,544,99,39,2094,559,539,APTOS,3,1,0,149.4,0,1,8,557.625,2.475,278,67,0,3,8580,11,231,6540,0,0
1945848,Produtor_2068,Lancamento_4613,Autodesenvolvimento,40.0,Alto,65054-760,MA,Cidade_5338,2006-09-16,19,Crédito Acessível,176.47,1,2026-01-01 13:18:00,Desconhecido,0.0,546,1,578,99,999,1521,543,547,APTOS,3,1,0,176.47,0,1,8,604.25,0.099,875,1451,1,0,13342,10,2530,12338,1,0
1845196,Produtor_0504,Lancamento_4419,Mentoria,547.0,Médio,14075-310,SP,Cidade_4393,1997-06-12,28,Crédito Acessível,1857.84,12,2026-01-01 13:20:00,Desconhecido,0.0,502,1,555,99,42,2360,529,527,APTOS,3,1,0,154.82,0,1,8,576.875,2.302325581395349,212,1373,6,3,4346,27,2128,10338,1,0
1945925,Produtor_0683,Lancamento_0232,Autoconhecimento,352.0,Médio,57036450,AL,Cidade_3043,1967-12-20,58,Antecipação Produtor,2988.0,12,2026-01-01 13:20:00,Desconhecido,0.0,636,10,617,2,98,7418,642,705,APTOS,3,1,0,249.0,0,1,8,1266.0,0.0202020202020202,278,67,0,3,12008,1,1473,1802,0,0
1865894,Produtor_0504,Lancamento_4419,Mentoria,357.0,Médio,24436-540,RJ,Cidade_5283,1988-09-26,37,Crédito Acessível,1857.84,12,2026-01-01 13:41:00,Desconhecido,0.0,625,6,623,99,86,4448,602,567,APTOS,3,1,0,154.82,0,1,8,882.0,1.137931034482759,212,1373,6,3,6640,20,2475,7789,1,0
1945932,Produtor_0683,Lancamento_0232,Autoconhecimento,327.0,Médio,24230-320,RJ,Cidade_3468,1974-08-03,51,Crédito Acessível,2988.0,12,2026-01-01 13:57:00,Desconhecido,0.0,746,5,672,2,100,29254,647,669,APTOS,3,1,0,249.0,0,1,8,4011.875,0.0198019801980198,278,67,0,3,6581,20,1679,3449,1,0
1944333,Produtor_0683,Lancamento_0232,Autoconhecimento,296.0,Alto,18190-000,SP,Cidade_0362,1970-01-06,56,Crédito Acessível,2988.0,12,2026-01-01 14:02:00,Desconhecido,0.0,579,7,550,99,9,2740,568,545,APTOS,3,1,0,249.0,0,1,8,637.125,9.9,278,67,0,0,5348,27,168,2245,1,0
1936923,Produtor_1961,Lancamento_4051,Autodesenvolvimento,254.0,Alto,41500450,BA,Cidade_4592,1990-03-07,35,Crédito Acessível,3723.24,12,2026-01-01 14:41:00,Desconhecido,0.0,619,2,611,99,94,4157,599,595,APTOS,3,1,0,310.27,0,1,8,847.0,1.0421052631578946,828,1214,1,0,10355,4,2241,8227,1,0
1945945,Produtor_2068,Lancamento_4613,Autodesenvolvimento,342.0,Médio,68903-209,AP,Cidade_3028,1998-02-01,28,Crédito Acessível,989.16,12,2026-01-01 14:46:00,Desconhecido,0.0,611,3,625,99,100,1765,600,562,APTOS,3,1,0,82.42999999999999,0,1,8,545.625,0.9801980198019802,875,1451,1,3,14153,3,1466,10516,1,0
749998,Produtor_0683,Lancamento_0232,Autoconhecimento,180.0,Alto,15804-020,SP,Cidade_1227,1977-04-08,48,Crédito Acessível,2988.0,12,2026-01-01 15:26:00,Desconhecido,0.0,625,2,577,99,100,7684,597,616,APTOS,3,1,0,249.0,0,1,8,1287.5,0.9801980198019802,278,67,0,0,4845,27,623,4211,1,0
1944590,Produtor_1698,Lancamento_4958,Autoconhecimento,581.0,Médio,68725-000,PA,Cidade_2272,1992-03-17,33,Crédito Acessível,1175.88,12,2026-01-01 15:35:00,Desconhecido,0.0,703,1,651,99,100,1890,646,624,APTOS,3,1,0,97.99,0,1,8,589.25,0.9801980198019802,717,1547,0,3,14102,15,1103,8828,1,0
1945229,Produtor_0396,Lancamento_3943,Autodesenvolvimento,224.0,Alto,68440-000,PA,Cidade_0043,1981-11-19,44,Crédito Acessível,5721.94,7,2026-01-01 15:46:00,Desconhecido,0.0,529,3,555,99,100,4632,528,473,APTOS,3,1,0,817.42,0,1,8,864.875,0.9801980198019802,171,1166,1,0,13983,15,19,5618,1,0
1945955,Produtor_2068,Lancamento_4613,Autodesenvolvimento,619.0,Médio,02673-000,SP,Cidade_5362,1987-11-14,38,Crédito Acessível,989.16,12,2026-01-01 15:50:00,Desconhecido,0.0,672,3,617,99,100,1950,627,571,APTOS,3,1,0,82.42999999999999,0,1,8,579.875,0.9801980198019802,875,1451,1,3,249,27,2554,7512,1,0
1945961,Produtor_1042,Lancamento_0270,Outros,351.0,Médio,80410-200,PR,Cidade_1555,1972-09-01,53,Crédito Acessível,1189.92,12,2026-01-01 16:12:00,Desconhecido,0.0,543,2,584,99,9,15490,521,513,APTOS,3,1,0,99.16,0,1,8,2220.125,9.9,427,78,7,3,17237,19,780,2930,1,0
