iter	Passed	Remaining
0	52	52818
1	95	47598
2	144	48011
3	200	50020
4	249	49736
5	302	50083
6	365	51802
7	416	51614
8	480	52906
9	538	53341
10	604	54305
11	667	54952
12	725	55102
13	787	55469
14	848	55725
15	892	54895
16	939	54331
17	992	54146
18	1046	54054
19	1110	54435
20	1180	55037
21	1226	54504
22	1280	54388
23	1334	54256
24	1392	54309
25	1442	54050
26	1493	53828
27	1548	53757
28	1609	53890
29	1659	53660
30	1717	53679
31	1777	53775
32	1834	53768
33	1892	53777
34	1946	53671
35	2005	53711
36	2056	53535
37	2113	53501
38	2170	53480
39	2234	53634
40	2284	53431
41	2347	53535
42	2406	53566
43	2455	53348
44	2516	53403
45	2571	53330
46	2630	53339
47	2681	53190
48	2734	53066
49	2779	52814
50	2829	52654
51	2877	52456
52	2939	52516
53	2989	52366
54	3056	52518
55	3125	52684
56	3185	52708
57	3246	52731
58	3301	52660
59	3376	52903
60	3410	52499
61	3474	52567
62	3532	52532
63	3595	52577
64	3653	52556
65	3720	52653
66	3771	52521
67	3840	52631
68	3894	52546
69	3936	52301
70	3982	52106
71	4033	51987
72	4080	51815
73	4137	51769
74	4206	51880
75	4270	51917
76	4333	51944
77	4391	51913
78	4451	51894
79	4502	51780
80	4550	51633
81	4600	51505
82	4650	51375
83	4703	51285
84	4750	51134
85	4809	51115
86	4862	51031
87	4935	51148
88	5012	51309
89	5078	51353
90	5132	51266
91	5183	51155
92	5247	51176
93	5303	51118
94	5366	51124
95	5431	51147
96	5483	51049
97	5539	50988
98	5587	50852
99	5642	50780
100	5695	50693
101	5751	50634
102	5817	50662
103	5855	50443
104	5904	50330
105	5957	50243
106	6015	50202
107	6077	50195
108	6130	50115
109	6177	49980
110	6192	49595
111	6246	49525
112	6303	49476
113	6372	49524
114	6427	49462
115	6491	49473
116	6534	49316
117	6596	49304
118	6678	49444
119	6740	49432
120	6794	49360
121	6842	49246
122	6881	49062
123	6926	48932
124	6975	48827
125	7033	48787
126	7091	48745
127	7146	48683
128	7196	48587
129	7240	48456
130	7282	48311
131	7320	48135
132	7374	48074
133	7414	47917
134	7461	47809
135	7520	47776
136	7570	47688
137	7619	47592
138	7718	47811
139	7758	47656
140	7814	47608
141	7864	47519
142	7906	47382
143	7970	47381
144	8030	47350
145	8077	47244
146	8091	46954
147	8140	46860
148	8184	46747
149	8234	46662
150	8293	46631
151	8310	46363
