decil,n,n_fpd,taxa_fpd,score_min,score_max,fpd_acum,captura_pct
D10,1570,8,0.005095541401273885,0.0033169332438910183,0.046386722816628506,8,0.4
D09,1570,16,0.01019108280254777,0.0464074634037543,0.09773220465333227,24,1.3
D08,1570,30,0.01910828025477707,0.09773911730842626,0.15881338096312383,54,3.0
D07,1570,81,0.05159235668789809,0.15882252278387535,0.2388424677577035,135,7.5
D06,1570,112,0.07133757961783439,0.23886417456221867,0.3260940555649576,247,13.8
D05,1570,133,0.08471337579617834,0.32618198396339965,0.4134492826103251,380,21.2
D04,1570,208,0.13248407643312102,0.4134842177624646,0.5021757751760189,588,32.8
D03,1570,270,0.17197452229299362,0.5022866789369799,0.5983589333164917,858,47.9
D02,1570,352,0.22420382165605096,0.5984095650759867,0.6977460542462487,1210,67.5
D01,1570,582,0.37070063694267513,0.6978005536540236,0.8960607115839209,1792,100.0
