feature,importance
quantidade_parcelas,554
score,490
endereco_cep_encoded,418
lancamento_encoded,403
nascimento_encoded,401
total_financiado,387
valor_parcela,336
SCORE_HIPN,333
produtor_encoded,332
SCORE_HVA4,329
SCORE_HCP4,323
media_scores_bureau,317
SCORE_HFI4,297
endereco_cidade_encoded,232
SCORE_HSV4,229
segmento_encoded,182
razao_hipa_hipn,160
modalidade_encoded,119
mes_compra,118
idade,111
endereco_estado_encoded,108
dia_semana_compra,106
SCORE_HRM5,103
SCORE_HEST,78
SCORE_HIPA,28
qtd_scores_bureau,10
categoria_risco_score_encoded,6
pedido_pai_ob,0
compra_fim_semana,0
MENSAGEM_TIPO_REGISTRO_encoded,0
tem_order_bump,0
tem_bureau,0
