decil,n_total,n_fpd,prob_media,taxa_fpd_%,%_fpd_capturado,%_pop_acionada,lift
1,1500,576,0.7894443189034753,38.4,27.9,10.0,2.79
2,1500,430,0.7200274194141375,28.7,48.7,20.0,2.08
3,1500,309,0.6470835307984847,20.6,63.6,30.0,1.5
4,1500,272,0.5656177994830031,18.1,76.8,40.0,1.31
5,1499,196,0.47772233206615444,13.1,86.3,50.0,0.95
6,1500,142,0.3742113104381021,9.5,93.2,60.0,0.69
7,1500,72,0.2625903092881311,4.8,96.7,70.0,0.35
8,1500,45,0.16159557074034667,3.0,98.8,80.0,0.22
9,1500,20,0.08239208537482494,1.3,99.8,90.0,0.09
10,1500,4,0.026299103405740466,0.3,100.0,100.0,0.02
